primitive,with_n,with_wr,with_avg,with_pnl,without_n,without_wr,edge_delta,avg_contribution,total_resolved
huge_anchor,2,100.0,26.21,52.42,4,0.0,100.0,14.0,6
conviction_tier,2,100.0,26.21,52.42,4,0.0,100.0,10.0,6
rel_vol_hot,3,66.7,5.74,17.21,3,0.0,66.7,8.0,6
high_genesis_rank,3,66.7,1.14,3.43,3,0.0,66.7,12.0,6
breakout_volume_surge,4,50.0,-20.39,-81.55,2,0.0,50.0,6.0,6
near_pullback,4,50.0,-7.95,-31.78,2,0.0,50.0,8.0,6
structural_anchor_below,5,40.0,-26.11,-130.54,1,0.0,40.0,14.0,6
obv_rising,6,33.3,-18.71,-112.24,0,0.0,33.3,7.7,6
regime_chop_size_down,2,50.0,27.77,55.54,4,25.0,25.0,-5.0,6
regime_favorable,4,25.0,-41.95,-167.78,2,50.0,-25.0,5.0,6
rel_vol_weak,1,0.0,-48.99,-48.99,5,40.0,-40.0,-4.0,6
ascending_channel,1,0.0,18.3,18.3,5,40.0,-40.0,18.0,6
moderate_pullback,1,0.0,-98.76,-98.76,5,40.0,-40.0,4.0,6
rel_vol_normal+,1,0.0,-98.76,-98.76,5,40.0,-40.0,4.0,6
multiple_touches,1,0.0,18.3,18.3,5,40.0,-40.0,8.0,6
at_lower_rail,1,0.0,18.3,18.3,5,40.0,-40.0,14.0,6
anchor_eligible,1,0.0,18.3,18.3,5,40.0,-40.0,12.0,6
anchor_high_genesis_rank,1,0.0,18.3,18.3,5,40.0,-40.0,9.6,6
