ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
AVGO,Long,T1-STRONG_LONG,55,385.57,381.9,417.36,401.28,403.6,394.57,148157132.0,4.07,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
TSLA,Long,T1-STRONG_LONG,56,366.75,364.2,445.02,389.1,393.95,385.22,1073321737.0,6.09,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
XOM,Short,T2-SHORT,95,154.04,157.1208,147.38,148.22,148.8,146.24,1532106760.0,3.78,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
ORCL,Long,T1-STRONG_LONG,65,161.97,155.91,187.19,183.87,185.34,176.01,24231078.0,13.52,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
MU,Long,T1-STRONG_LONG,54,434.51,426.49,470.35,451.12,457.82,441.3,0.0,3.82,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
CVX,Short,T2-SHORT,95,193.17,199.24,172.38,185.05,185.52,182.34,1928910363.0,4.2,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
AMD,Long,T1-STRONG_LONG,56,249.79,246.78,303.12,284.63,284.6,276.62,1972075137.0,13.95,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
PLTR,Long,T1-STRONG_LONG,62,136.79,132.37,160.17,146.87,149.87,144.0,1187528835.0,7.37,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
MRK,Short,T3-SHORT,80,121.03,123.4506,108.59,112.36,116.53,111.91,0.0,7.16,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
MS,Long,T1-STRONG_LONG,54,181.75,181.18,200.22,189.76,193.14,188.71,0.0,4.41,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
GS,Long,T1-STRONG_LONG,76,912.21,890.65,992.83,927.79,952.01,922.54,596245.0,1.71,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
PM,Short,T2-SHORT,80,160.16,163.3632,145.74,155.52,157.67,154.59,0.0,2.9,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
IBM,Long,T2-LONG,32,242.25,240.27,271.3,256.75,257.41,251.86,1822483.0,5.99,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
TMUS,Long,T1-STRONG_LONG,40,191.79,190.19,208.42,201.88,206.78,194.75,0.0,5.26,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
VZ,Short,T3-SHORT,95,48.16,49.1232,45.23,46.58,47.01,46.21,501361683.0,3.28,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
C,Long,T1-STRONG_LONG,54,126.85,126.31,139.79,132.71,135.29,131.9,0.0,4.62,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
KLAC,Long,T1-STRONG_LONG,79,1744.07,1736.24,1874.4,1792.35,1823.27,1782.05,848308916.0,2.77,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
T,Short,T2-SHORT,80,27.5,28.05,24.43,26.19,26.44,25.97,0.0,4.76,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
ABT,Short,T3-SHORT,95,103.0,105.06,96.82,93.08,95.91,92.96,879236590.0,9.63,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
TXN,Long,T1-STRONG_LONG,78,224.67,223.42,243.98,234.23,236.0,230.64,916072389.0,4.26,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
GILD,Short,T3-SHORT,95,138.84,141.6168,113.58,132.75,136.82,132.22,1896277.0,4.39,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
CRM,Long,T2-LONG,22,174.22,173.47,192.14,188.8,193.56,184.1,0.0,8.37,NO_FILL,0.0,True,2026-04-21_1125,2026-04-12_2000
SCHW,Short,T3-SHORT,80,98.75,100.725,85.37,92.53,94.15,91.99,949392033.0,6.3,NO_FILL,0.0,False,2026-04-21_1125,2026-04-12_2000
