ticker,stage,stage_pct,conviction,av20_volume,today_vol_pct_of_avg,n_overhead_remaining,fresh_bull_5m_below,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rejection_dt,rejection_gap_top,rejection_gap_bot,rejection_gap_ticks,rejection_price,bounce_dt,bounce_price,bounce_gap_top,bounce_vol_ratio,n_bearish_total,n_bearish_consumed,last_consumed_dt,last_consumed_top,fresh_bull_5m_count,snapshot_price,target,stop,rr,entry_ready,all_bearish_consumed,pattern_status
TPG,ALL_EATEN,100,4,2669882,114.8,4,0,4,0.1,False,4.3,2026-04-23 09:30:00,44.9083,44.28,63,44.25,2026-05-01 09:30:00,43.975,43.46,1.67,3,3,2026-04-30 11:30:00,43.59,0,43.89,44.28,43.59,1.3,True,True,ENTRY_READY
UPST,BOUNCED_CLEAN,50,3,4044186,172.5,12,0,2,-14.8,False,0.2,2026-04-30 12:30:00,31.1,30.86,24,30.85,2026-05-05 16:15:00,28.06,28.2739,1.73,0,0,,,0,28.06,30.86,27.86,14.0,False,False,BOUNCED
UPST,BOUNCED_CLEAN,50,3,4044186,172.5,12,0,2,-14.8,False,0.2,2026-05-04 11:30:00,31.9545,31.75,20,31.61,2026-05-05 16:15:00,28.06,28.2739,1.73,0,0,,,0,28.06,31.75,27.86,18.45,False,False,BOUNCED
SLDE,BOUNCED_CLEAN,50,5,1585019,87.5,8,0,7,0.8,False,4.3,2026-04-08 11:00:00,18.31,17.99,32,17.985,2026-04-29 16:00:00,18.44,17.94,3.18,0,0,,,0,18.44,17.99,17.92,,False,False,BOUNCED
SLDE,BOUNCED_CLEAN,50,5,1585019,87.5,7,0,7,0.8,False,4.7,2026-04-29 11:30:00,18.75,18.47,28,18.43,2026-04-29 13:00:00,18.505,18.31,3.18,0,0,,,0,18.505,18.47,18.27,,False,False,BOUNCED
UPST,BOUNCED_CLEAN,50,3,4044186,172.5,7,0,2,-14.8,False,0.8,2026-05-05 11:00:00,32.47,32.16,31,32.14,2026-05-05 12:15:00,31.71,31.7,1.73,0,0,,,0,31.71,32.16,31.56,3.0,False,False,BOUNCED
PLTR,BOUNCED_CLEAN,50,3,49648976,167.5,1,0,3,-1.0,False,2.0,2026-05-04 17:45:00,145.73,144.49,124,144.2304,2026-05-05 04:45:00,141.83,142.96,1.68,0,0,,,0,141.83,144.49,141.07,3.5,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-04-09 15:00:00,16.36,15.66,70,15.65,2026-05-05 08:30:00,11.175,15.15,6.67,3,0,,,0,11.175,15.66,10.8,11.96,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-04-15 19:30:00,16.43,16.2,23,16.1,2026-05-05 08:30:00,11.175,15.8,6.67,5,0,,,0,11.175,16.2,10.8,13.4,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-04-16 04:00:00,16.43,16.1,33,16.03,2026-05-05 08:30:00,11.175,15.8,6.67,2,0,,,0,11.175,16.1,10.8,13.13,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-04-23 11:30:00,16.46,16.26,20,16.25,2026-05-05 08:30:00,11.175,15.8,6.67,2,0,,,0,11.175,16.26,10.8,13.56,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-04-30 11:00:00,17.83,17.5624,27,17.49,2026-05-05 08:30:00,11.175,15.8,6.67,1,0,,,0,11.175,17.5624,10.8,17.03,False,False,BOUNCED
BRBR,BOUNCED_WAITING,50,4,3727989,667.1,18,0,3,1.6,False,1.3,2026-05-04 17:30:00,18.2955,17.82,48,17.36,2026-05-05 08:30:00,11.175,15.8,6.67,1,0,,,0,11.175,17.82,10.8,17.72,False,False,BOUNCED
