ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
MVST,SHORT,41.58,38.62,1.35,1.18,1.32,1.2399,1555294,53890,28.86,0.35,True,2.02,1.2399,1.2523,1.2151,8065,100.0,208.1937,SHORT_GENESIS,SHORT_GENESIS,EXTREME,0.1486,332.03,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
VTGN,SHORT,9.65,7.99,0.8016,0.6086,0.6526,0.6198,4145512,11219,369.51,0.06,True,0.6736,0.6198,0.626,0.6074,16134,100.0,96.1793,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.0416,39.62,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
DXYZ,SHORT,18.56,17.17,65.6,58.02,64.48,59.01,841338,313851,2.68,0.13,True,71.24,59.01,59.6001,57.8298,169,99.73,50.4698,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,4.2936,21.98,LOW
MOBX,SHORT,6.7,4.02,3.09,2.09,2.25,2.15,1870881,28148,66.46,0.06,True,2.24,2.15,2.1715,2.107,4651,100.0,50.1107,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.2635,10.64,HIGH (low-priced low-float — verify locate before entering)
TE,SHORT,6.62,-7.62,7.75,5.64,5.98,6.5,6131415,152716,40.15,0.41,True,6.04,6.5,6.565,6.37,1538,99.97,33.9488,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.4538,279.07,LOW
QBTS,SHORT,8.45,3.08,26.1,22.0,23.87,23.29,6840684,778683,8.78,0.31,True,24.03,23.29,23.5229,22.8242,429,99.91,31.7739,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.7097,370.43,LOW
GPRO,SHORT,6.82,6.08,1.4222,1.23,1.4,1.2398,1508770,219015,6.89,0.05,True,1.32,1.2398,1.2522,1.215,8065,99.99,28.9464,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.1688,163.59,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
HIMS,SHORT,17.23,14.89,25.06,24.12,24.8,24.7997,2049674,683728,3.0,0.72,False,29.14,24.7997,25.0477,24.3037,403,99.94,28.0781,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,2.0599,231.07,LOW
IONQ,SHORT,3.46,-1.34,61.14,54.9236,55.62,57.65,4389290,1945905,2.26,0.44,True,56.89,57.65,58.2265,56.497,173,99.73,6.6531,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,4.3021,373.27,LOW
LAES,SHORT,3.59,-0.33,3.18,2.95,3.02,3.0702,1526615,705256,2.16,0.52,False,3.06,3.0702,3.1009,3.0088,3257,100.0,6.2268,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.2529,222.77,MEDIUM
